report id,ReCDroid_1 Result,ReCDroid_1 Total Runtime,ReCDroid_1 NLP Runtime,ReCDroid_1 Search Runtime,Yakusu_1 Result,Yakusu_1 Total Runtime,Yakusu_1 NLP Runtime,Yakusu_1 Search Runtime,Reprobot_1 Result,ReproBot_1 Total Runtime,ReproBot_1 NLP Runtime,ReproBot_1 Search Runtime,ReproBot_2 Result,ReproBot_2 Total Runtime,ReproBot_2 NLP Runtime,ReproBot_2 Search Runtime,ReproBot_3 Result,ReproBot_3 Total Runtime,ReproBot_3 NLP Runtime,ReproBot_3 Search Runtime,# Success,VariantB Result,VariantB Total Runtime,VariantA_1 Result,VariantA_1 Total Runtime,VariantA_2 Result,VariantA_2 Total Runtime,VariantA_3 Result,VariantA_3 Total Runtime,# Success
andror2-159,Failed Timeout,3600,3.3,3596.7,Failed Timeout,3600,656.1,2943.9,Failed Timeout,3600,28.3,3571.7,Failed Timeout,3600,42.3,3557.7,Failed Timeout,3600,30.9,3569.1,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
andror2-168,Success,57.3,3.2,54.1,Failed Timeout,3600,523.8,3076.2,Success,275.3,25.9,249.5,Success,135.3,28,107.3,Success,82.3,27.2,55.1,3,Success,54.5,Success,5.6,Failed Timeout,3600,Success,24.3,2
andror2-198,Failed Timeout,3600,3.2,3596.8,Failed Timeout,3600,403.2,3196.8,Failed Timeout,3600,27.8,3572.2,Failed Timeout,3600,26.5,3573.5,Failed Timeout,3600,28.7,3571.3,0,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
andror2-276,Failed Timeout,3600,4.3,3595.7,Failed Timeout,3600,427.3,3172.7,Failed Timeout,3600,33.2,3566.8,Success,537.2,32.8,504.4,Failed Timeout,3600,31.6,3568.4,1,Failed Timeout,3600,Failed Timeout,3600,Success,1200,Failed Timeout,3600,1
recdroid-1,Success,200.6,9.1,191.5,Success,722.7,357,365.7,Failed Timeout,3600,50.8,3549.2,Success,260.5,27.1,233.4,Success,887.7,34.1,853.6,2,Success,221.3,Success,223.9,Success,87.4,Success,197.9,3
recdroid-11,Success,43,4.6,38.4,Failed Timeout,3600,267.7,3332.3,Success,186.1,26.2,159.9,Success,40.7,24.9,15.8,Success,35.8,29.6,6.2,3,Success,37.7,Failed Timeout,3600,Failed Timeout,3600,Failed Timeout,3600,0
recdroid-12,Success,33.1,3.1,30,Success,591,484.9,106.1,Success,370.3,26.1,344.2,Success,271.2,27.4,243.8,Success,380,38.1,341.9,3,Success,29.8,Success,172.5,Success,137.3,Success,72.4,3
recdroid-13,Success,197.7,6.8,190.9,Failed Timeout,3600,377.1,3222.9,Success,311.4,27.7,283.8,Success,159.8,27,132.8,Success,452.9,31,421.9,3,Success,865.3,Success,153.1,Failed Timeout,3600,Failed Timeout,3600,1
recdroid-14,False Reproduction,73.8,6.5,67.3,Failed Timeout,3600,381.6,3218.4,Success,91.9,29.1,62.8,Success,62.1,35.8,26.3,False Reproduction,78.8,28.4,50.4,2,False Reproduction,66.5,False Reproduction,1694,Success,462,False Reproduction,1056.4,1
recdroid-15,Success,142.5,4.3,138.2,Failed Timeout,3600,385.2,3214.8,Success,309.8,27.9,281.9,Success,290.3,27.5,262.8,Success,1401.7,25.8,1375.9,3,Failed Timeout,3600,Success,517.8,Success,238.7,Success,337.4,3
