Bug Report ID,GitHub Issue Link,Number of actual S2Rs,Number of reported S2Rs,SDK
yakusu-98,https://github.com/openbmap/radiocells-scanner-android/issues/179,4,1,8
yakusu-35,https://github.com/opendatakit/collect/issues/360,10,4,6
yakusu-1,https://github.com/inorichi/tachiyomi/issues/880,5,4,7
saner2022-8,https://github.com/koelleChristian/trickytripper/issues/42,8,5,6
saner2022-271,https://github.com/beemdevelopment/Aegis/issues/500,7,3,10
saner2022-256,https://github.com/codinguser/gnucash-android/issues/654,11,3,7
saner2022-253,https://github.com/mozilla-mobile/focus-android/issues/3932,4,3,8
saner2022-23,https://github.com/SecUSo/privacy-friendly-weather/issues/61,4,2,7
saner2022-2,https://github.com/zwieback/FamilyFinance/issues/1,7,4,6
saner2022-18,https://github.com/citiususc/calendula/issues/134,4,2,8
saner2022-1645,https://github.com/TheMHMoritz3/Trainer-App/issues/7,7,6,10
saner2022-1568,https://github.com/lfuelling/lrkFM/issues/44,5,3,10
saner2022-1447,https://github.com/cohenadair/anglers-log/issues/9,4,2,6
saner2022-1430,https://github.com/brodeurlv/fastnfitness/issues/142,14,9,8
saner2022-1405,https://github.com/fossasia/phimpme-android/issues/2318,7,6,8
saner2022-1404,https://github.com/fossasia/phimpme-android/issues/2523,7,5,8
saner2022-1403,https://github.com/fossasia/phimpme-android/issues/1046,12,3,8
saner2022-1300,https://github.com/PhenoApps/Field-Book/issues/145,12,8,9
saner2022-1299,https://github.com/PhenoApps/Field-Book/issues/146,18,7,9
saner2022-129,https://github.com/andOTP/andOTP/issues/500,6,3,9
saner2022-1227,https://github.com/codinguser/gnucash-android/issues/664,2,2,6
saner2022-1226,https://github.com/codinguser/gnucash-android/issues/663,14,2,6
saner2022-1215,https://github.com/andOTP/andOTP/issues/569,7,7,10
saner2022-1207,https://github.com/andOTP/andOTP/issues/135,7,7,7
saner2022-1160,https://github.com/moezbhatti/qksms/issues/482,3,3,6
saner2022-1133,https://github.com/AntennaPod/AntennaPod/issues/3245,2,2,7
saner2022-11,https://github.com/gauravjot/android-noad-music-player/issues/1,2,2,6
saner2022-1096,https://github.com/inaturalist/iNaturalistAndroid/issues/722,6,4,8
saner2022-1089,https://github.com/ChessCom/android-chessclock/issues/11,6,6,8
saner2022-1002,https://github.com/alexstojda/soen390/issues/36,6,2,8
recdroid-9,https://code.google.com/archive/p/banderlabs/issues/23,2,2,5
recdroid-8,https://github.com/helloworld1/AnyMemo/issues/440,6,5,5
recdroid-7,https://code.google.com/archive/p/anymemo/issues/18,2,2,5
recdroid-64,https://gitlab.com/fdroid/fdroidclient/issues/1821,5,5,7
recdroid-62,https://github.com/netmackan/ATimeTracker/issues/10,3,2,5
recdroid-61,https://github.com/opendatakit/collect/issues/2191,3,1,6
recdroid-60,https://github.com/opendatakit/collect/issues/2075,3,2,5
recdroid-59,https://github.com/codinguser/gnucash-android/issues/633,4,2,5
recdroid-58,https://github.com/netmackan/ATimeTracker/issues/35,3,1,5
recdroid-57,https://github.com/helloworld1/AnyMemo/issues/422,2,2,6
recdroid-56,https://github.com/robotmedia/droid-comic-viewer/issues/12,4,4,5
recdroid-55,https://github.com/opendatakit/collect/issues/2525,2,1,7
recdroid-53,https://github.com/opendatakit/collect/issues/1402,3,2,6
recdroid-52,https://github.com/codinguser/gnucash-android/issues/596,1,1,5
recdroid-5,https://code.google.com/archive/p/opensudoku-android/issues/173,8,8,5
recdroid-49,https://github.com/mkulesh/microMathematics/issues/39,4,3,6
